company_id,company_name,filing_year,class_number,application_count
709006024,株式会社ベネッセコーポレーション,2020,9,17
709006024,株式会社ベネッセコーポレーション,2020,16,7
709006024,株式会社ベネッセコーポレーション,2020,18,1
709006024,株式会社ベネッセコーポレーション,2020,24,1
709006024,株式会社ベネッセコーポレーション,2020,25,1
709006024,株式会社ベネッセコーポレーション,2020,28,2
709006024,株式会社ベネッセコーポレーション,2020,35,6
709006024,株式会社ベネッセコーポレーション,2020,36,1
709006024,株式会社ベネッセコーポレーション,2020,38,3
709006024,株式会社ベネッセコーポレーション,2020,41,18
709006024,株式会社ベネッセコーポレーション,2020,42,13
709006024,株式会社ベネッセコーポレーション,2020,43,2
709006024,株式会社ベネッセコーポレーション,2020,44,3
709006024,株式会社ベネッセコーポレーション,2020,45,2
